date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:46:00	27503/27503	---M-Z	200	added ('OK')	application/javascript	etag:%226b6f-59688e3650648%22	http://www.nuvemtelecom.com.br/wp-content/plugins/wp-google-maps/lib/pako_deflate.min.js?ver=5.2.7	C:/Meus%20Sites/RainetTelecom/wp-content/plugins/wp-google-maps/lib/pako_deflate.min6e7a.js	(from http://www.nuvemtelecom.com.br/)
09:46:00	82647/82647	---M-Z	200	added ('OK')	application/javascript	etag:%22142d7-59688e364f6a8%22	http://www.nuvemtelecom.com.br/wp-content/plugins/wp-google-maps/js/jquery.dataTables.js?ver=5.2.7	C:/Meus%20Sites/RainetTelecom/wp-content/plugins/wp-google-maps/js/jquery.dataTables6e7a.js	(from http://www.nuvemtelecom.com.br/)
09:46:00	124380/124380	U--MC-	200	updated ('OK')	application/json	date:Thu,%2013%20Aug%202020%2012:45:44%20GMT	http://www.nuvemtelecom.com.br/wp-json/	C:/Meus%20Sites/RainetTelecom/wp-json/index.html	(from http://www.nuvemtelecom.com.br/)
09:46:00	79816/79816	---M-Z	200	added ('OK')	application/javascript	etag:%22137c8-59688e3650648%22	http://www.nuvemtelecom.com.br/wp-content/plugins/wp-google-maps/lib/spectrum.js?ver=5.2.7	C:/Meus%20Sites/RainetTelecom/wp-content/plugins/wp-google-maps/lib/spectrum6e7a.js	(from http://www.nuvemtelecom.com.br/)
09:46:01	36200/36200	---M-Z	200	added ('OK')	application/javascript	etag:%228d68-59688e364f6a8%22	http://www.nuvemtelecom.com.br/wp-content/plugins/wp-google-maps/js/wpgmaps.js?ver=8.0.8b	C:/Meus%20Sites/RainetTelecom/wp-content/plugins/wp-google-maps/js/wpgmaps818a.js	(from http://www.nuvemtelecom.com.br/)
09:46:01	161554/161554	U-----	200	untouched ('')	application/javascript	etag:%2227712-59688e364e708%22	http://www.nuvemtelecom.com.br/wp-content/plugins/wp-google-maps/js/v8/wp-google-maps.min.js?ver=8.0.8	C:/Meus%20Sites/RainetTelecom/wp-content/plugins/wp-google-maps/js/v8/wp-google-maps.min466a.js	(from http://www.nuvemtelecom.com.br/)
09:46:01	12136/12136	U-----	200	untouched ('')	application/vnd.ms-fontobject	etag:%222f68-5963b988836b0%22	http://www.nuvemtelecom.com.br/wp-content/plugins/revslider/public/assets/fonts/revicons/revicons.eot?5510888	C:/Meus%20Sites/RainetTelecom/wp-content/plugins/revslider/public/assets/fonts/revicons/revicons90c6.eot	(from http://www.nuvemtelecom.com.br/wp-content/plugins/revslider/public/assets/css/rs6.css?ver=6.1.2)
09:46:01	70/70	---M--	200	added ('OK')	image/png	etag:%2246-5963b988836b0%22	http://www.nuvemtelecom.com.br/wp-content/plugins/revslider/public/assets/assets/gridtile.png	C:/Meus%20Sites/RainetTelecom/wp-content/plugins/revslider/public/assets/assets/gridtile.png	(from http://www.nuvemtelecom.com.br/wp-content/plugins/revslider/public/assets/css/rs6.css?ver=6.1.2)
09:46:01	70/70	---M--	200	added ('OK')	image/png	etag:%2246-5963b988836b0%22	http://www.nuvemtelecom.com.br/wp-content/plugins/revslider/public/assets/assets/gridtile_white.png	C:/Meus%20Sites/RainetTelecom/wp-content/plugins/revslider/public/assets/assets/gridtile_white.png	(from http://www.nuvemtelecom.com.br/wp-content/plugins/revslider/public/assets/css/rs6.css?ver=6.1.2)
09:46:01	70/70	---M--	200	added ('OK')	image/png	etag:%2246-5963b98884650%22	http://www.nuvemtelecom.com.br/wp-content/plugins/revslider/public/assets/assets/gridtile_3x3.png	C:/Meus%20Sites/RainetTelecom/wp-content/plugins/revslider/public/assets/assets/gridtile_3x3.png	(from http://www.nuvemtelecom.com.br/wp-content/plugins/revslider/public/assets/css/rs6.css?ver=6.1.2)
09:46:01	71/71	---M--	200	added ('OK')	image/png	etag:%2247-5963b9889ccf1%22	http://www.nuvemtelecom.com.br/wp-content/plugins/revslider/public/assets/assets/gridtile_3x3_white.png	C:/Meus%20Sites/RainetTelecom/wp-content/plugins/revslider/public/assets/assets/gridtile_3x3_white.png	(from http://www.nuvemtelecom.com.br/wp-content/plugins/revslider/public/assets/css/rs6.css?ver=6.1.2)
09:46:02	90/90	---M--	200	added ('OK')	image/png	etag:%225a-5963b988836b0%22	http://www.nuvemtelecom.com.br/wp-content/plugins/revslider/public/assets/assets/coloredbg.png	C:/Meus%20Sites/RainetTelecom/wp-content/plugins/revslider/public/assets/assets/coloredbg.png	(from http://www.nuvemtelecom.com.br/wp-content/plugins/revslider/public/assets/css/rs6.css?ver=6.1.2)
09:46:02	7536/7536	U-----	200	untouched ('')	font/woff	etag:%221d70-5963b988836b0%22	http://www.nuvemtelecom.com.br/wp-content/plugins/revslider/public/assets/fonts/revicons/revicons.woff?5510888	C:/Meus%20Sites/RainetTelecom/wp-content/plugins/revslider/public/assets/fonts/revicons/revicons90c6.woff	(from http://www.nuvemtelecom.com.br/wp-content/plugins/revslider/public/assets/css/rs6.css?ver=6.1.2)
09:46:02	2545/2545	---M--	200	added ('OK')	image/gif	etag:%229f1-5963b988836b0%22	http://www.nuvemtelecom.com.br/wp-content/plugins/revslider/public/assets/assets/loader.gif	C:/Meus%20Sites/RainetTelecom/wp-content/plugins/revslider/public/assets/assets/loader.gif	(from http://www.nuvemtelecom.com.br/wp-content/plugins/revslider/public/assets/css/rs6.css?ver=6.1.2)
09:46:02	30902/30902	U-----	200	untouched ('OK')	text/css	etag:W/%220%22	http://www.nuvemtelecom.com.br/wp-content/themes/jelyco/css/A.font-awesome.css,qver=1.0.0.pagespeed.cf.T-Exsff3jJ.css	C:/Meus%20Sites/RainetTelecom/wp-content/themes/jelyco/css/A.font-awesome.css,qver=1.0.0.pagespeed.cf.T-Exsff3jJ.css	(from http://www.nuvemtelecom.com.br/)
09:46:02	11968/11968	U-----	200	untouched ('')	font/ttf	etag:%222ec0-5963b988836b0%22	http://www.nuvemtelecom.com.br/wp-content/plugins/revslider/public/assets/fonts/revicons/revicons.ttf?5510888	C:/Meus%20Sites/RainetTelecom/wp-content/plugins/revslider/public/assets/fonts/revicons/revicons90c6.ttf	(from http://www.nuvemtelecom.com.br/wp-content/plugins/revslider/public/assets/css/rs6.css?ver=6.1.2)
09:46:02	326/326	U-----	200	untouched ('OK')	text/html	etag:%22146-5963b9889ccf1%22	http://www.nuvemtelecom.com.br/wp-content/plugins/revslider/public/assets/css/openhand.cur	C:/Meus%20Sites/RainetTelecom/wp-content/plugins/revslider/public/assets/css/openhand.html	(from http://www.nuvemtelecom.com.br/wp-content/plugins/revslider/public/assets/css/rs6.css?ver=6.1.2)
09:46:02	4785/4785	U-----	200	untouched ('OK')	text/css	etag:W/%220%22	http://www.nuvemtelecom.com.br/wp-content/themes/jelyco/css/A.flaticon.css,qver=1.0.0.pagespeed.cf.eEgvrFv4bh.css	C:/Meus%20Sites/RainetTelecom/wp-content/themes/jelyco/css/A.flaticon.css,qver=1.0.0.pagespeed.cf.eEgvrFv4bh.css	(from http://www.nuvemtelecom.com.br/)
09:46:02	13691/13691	U-----	200	untouched ('OK')	image/svg+xml	etag:%22357b-5963b988836b0%22	http://www.nuvemtelecom.com.br/wp-content/plugins/revslider/public/assets/fonts/revicons/revicons.svg?5510888	C:/Meus%20Sites/RainetTelecom/wp-content/plugins/revslider/public/assets/fonts/revicons/revicons90c6.svg	(from http://www.nuvemtelecom.com.br/wp-content/plugins/revslider/public/assets/css/rs6.css?ver=6.1.2)
09:46:03	326/326	U-----	200	untouched ('OK')	text/html	etag:%22146-5963b9889ccf1%22	http://www.nuvemtelecom.com.br/wp-content/plugins/revslider/public/assets/css/closedhand.cur	C:/Meus%20Sites/RainetTelecom/wp-content/plugins/revslider/public/assets/css/closedhand.html	(from http://www.nuvemtelecom.com.br/wp-content/plugins/revslider/public/assets/css/rs6.css?ver=6.1.2)
09:46:03	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2013%20Aug%202020%2012:46:04%20GMT	http://www.nuvemtelecom.com.br/wp-content/plugins/revslider/public/assets/assets/gridtile.png	C:/Meus%20Sites/RainetTelecom/wp-content/plugins/revslider/public/assets/assets/gridtile.png	(from http://www.nuvemtelecom.com.br/wp-content/plugins/revslider/public/assets/css/rs6.css?ver=6.1.2)
09:46:03	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2013%20Aug%202020%2012:46:04%20GMT	http://www.nuvemtelecom.com.br/wp-content/plugins/revslider/public/assets/assets/gridtile_white.png	C:/Meus%20Sites/RainetTelecom/wp-content/plugins/revslider/public/assets/assets/gridtile_white.png	(from http://www.nuvemtelecom.com.br/wp-content/plugins/revslider/public/assets/css/rs6.css?ver=6.1.2)
09:46:03	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2013%20Aug%202020%2012:46:04%20GMT	http://www.nuvemtelecom.com.br/wp-content/plugins/revslider/public/assets/assets/gridtile_3x3.png	C:/Meus%20Sites/RainetTelecom/wp-content/plugins/revslider/public/assets/assets/gridtile_3x3.png	(from http://www.nuvemtelecom.com.br/wp-content/plugins/revslider/public/assets/css/rs6.css?ver=6.1.2)
09:46:03	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2013%20Aug%202020%2012:46:04%20GMT	http://www.nuvemtelecom.com.br/wp-content/plugins/revslider/public/assets/assets/gridtile_3x3_white.png	C:/Meus%20Sites/RainetTelecom/wp-content/plugins/revslider/public/assets/assets/gridtile_3x3_white.png	(from http://www.nuvemtelecom.com.br/wp-content/plugins/revslider/public/assets/css/rs6.css?ver=6.1.2)
09:46:04	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2013%20Aug%202020%2012:46:05%20GMT	http://www.nuvemtelecom.com.br/wp-content/plugins/revslider/public/assets/assets/coloredbg.png	C:/Meus%20Sites/RainetTelecom/wp-content/plugins/revslider/public/assets/assets/coloredbg.png	(from http://www.nuvemtelecom.com.br/wp-content/plugins/revslider/public/assets/css/rs6.css?ver=6.1.2)
